"","Atha_Ler-0_sl_FLT_uG_Rep1","Atha_Ler-0_sl_FLT_uG_Rep2","Atha_Ler-0_sl_FLT_uG_Rep3","Atha_Ler-0_sl_FLT_uG_Rep4","Atha_Ler-0_sl_FLT_0.09G_Rep1","Atha_Ler-0_sl_FLT_0.09G_Rep2","Atha_Ler-0_sl_FLT_0.09G_Rep3","Atha_Ler-0_sl_FLT_0.18G_Rep1","Atha_Ler-0_sl_FLT_0.18G_Rep2","Atha_Ler-0_sl_FLT_0.18G_Rep3","Atha_Ler-0_sl_FLT_0.36G_Rep1","Atha_Ler-0_sl_FLT_0.36G_Rep2","Atha_Ler-0_sl_FLT_0.36G_Rep3","Atha_Ler-0_sl_FLT_0.57G_Rep1","Atha_Ler-0_sl_FLT_0.57G_Rep2","Atha_Ler-0_sl_FLT_0.57G_Rep3","Atha_Ler-0_sl_FLT_0.57G_Rep4","Atha_Ler-0_sl_FLT_1G_Rep1","Atha_Ler-0_sl_FLT_1G_Rep2","Atha_Ler-0_sl_FLT_1G_Rep3"
"AT5G37970",1860,1366,2783,4008,3594,509,4922,2230,3877,3987,2460,1023,3803,3098,1151,3059,1648,4887,466,4965
"AT5G37980",1211,1234,3335,248,1138,3902,3862,1444,3990,2890,1096,2529,1368,4289,3435,2272,4012,1801,4896,2190
"AT5G37990",676,1523,2361,3819,3283,462,3715,4070,1784,3814,3236,3187,4457,2216,4371,4084,3653,2286,67,338
"AT5G38000",1926,1859,486,655,4611,457,1625,4055,1535,301,3399,1618,2305,308,1102,1246,796,4792,3239,3011
"AT5G38005",3212,285,4575,2067,4037,4113,4317,2490,1706,3652,4997,1344,4198,2632,590,2833,1282,2379,613,3707
"AT5G38010",3433,462,4920,1223,687,4860,2298,4144,3689,3955,69,1703,2188,308,127,4677,1291,4246,2009,2149
"AT5G38020",4608,2586,3948,2931,2366,674,1314,960,3475,1418,2700,2883,4942,7,2932,933,2755,177,2324,683
"AT5G38030",2717,710,3830,2655,3444,2403,1191,389,4682,1408,2675,2258,2913,2741,2416,926,1581,870,122,2699
"AT5G38040",4793,1427,2762,2507,326,3693,4549,247,3018,4392,3398,3180,3941,1097,3385,677,1206,2630,4128,4716
"AT5G38050",559,2438,3998,4799,4731,3907,4914,3908,3357,14,4170,2981,3964,2095,3704,1495,4538,2041,1876,2175
"AT5G38060",2681,938,926,1554,2405,2705,3775,713,2754,1565,25,2952,2826,1041,903,391,4419,4403,3650,1837
"AT5G38070",3207,2345,1925,4777,4483,4768,4636,2005,749,4263,4827,3705,845,1405,4324,3997,3475,2383,1911,4694
"AT5G38080",1637,1727,239,4332,3270,3220,3606,1812,1107,2236,3112,974,715,2667,2982,626,26,3778,3742,263
"AT5G38090",1013,4361,4219,3762,833,966,744,1775,1005,2948,75,544,2294,4397,3182,3804,907,674,3976,4597
"AT5G38100",3016,774,3751,2116,2690,1452,3993,3058,1723,559,879,2463,2322,59,3808,679,4652,4632,1689,3032
"AT5G38110",3430,1509,545,3362,3216,3091,4238,3159,2115,2152,3896,4597,1957,1905,180,1827,2706,2079,3241,1253
"AT5G38120",3824,1635,1577,3142,1852,1943,3831,4363,2317,1858,2360,3406,4330,3266,2336,1678,3284,784,3389,4242
"AT5G38130",3222,4613,908,677,3655,2180,394,2035,19,3124,2070,4181,1324,3205,4474,1118,3120,3549,483,1275
"AT5G38140",862,3746,1848,1083,834,332,3903,1728,3734,4072,4192,3241,436,3173,4798,4047,1916,2953,788,4334
"AT5G38150",1281,399,4531,4118,2580,725,674,1976,1761,2282,239,3919,3333,2976,3845,2190,2674,679,2603,2134
"AT5G38155",415,2109,4299,3416,2878,3550,4063,1094,1340,2819,4262,3724,1827,1653,751,4992,3769,3537,1990,3359
"AT5G38160",226,3828,776,3362,2514,1978,4738,1581,2002,3871,4385,4128,1942,4237,4032,759,329,1438,1591,3593
"AT5G38170",520,3450,1597,1907,2807,2412,2785,916,3052,3496,1120,1956,3284,2411,1916,635,4032,2001,758,2304
"AT5G38180",1059,4986,3874,1023,3531,4196,3069,3471,12,3599,2134,2262,699,390,3490,4954,1838,2727,2988,1555
"AT5G38190",4515,3200,3629,4719,556,2553,1561,2771,3821,2262,1368,3508,1166,3698,1357,59,982,3707,1464,3701
"AT5G38195",2481,4104,2904,1595,20,1273,3118,4677,3795,3056,2193,1819,4435,4058,386,1328,4224,3914,1791,2846
"AT5G38197",2482,1676,1041,1599,3764,2008,4180,3725,2693,2795,1032,4231,2393,1745,4787,4187,363,3327,433,2349
"AT5G38200",3966,2767,1826,184,3670,1767,2010,2392,1849,864,1700,4218,319,3354,3140,4098,2243,1366,2934,2213
"AT5G38210",1740,1165,4817,4851,3237,512,1044,3477,2510,3798,1459,4684,2142,3963,3730,4879,4774,834,2508,615
"AT5G38212",2853,4404,4210,1190,1501,233,4453,3917,2974,2022,2878,2221,2545,2802,1495,4585,288,4795,2313,2151
"AT5G38220",4551,2654,3612,2556,1299,206,1146,2140,3631,3849,2173,1667,3580,4195,2190,1887,624,1285,1092,1299
"AT5G38240",2695,2747,3462,64,4495,4630,1101,38,4528,4090,166,1034,1164,604,429,1503,2941,1906,728,4922
"AT5G38250",99,1376,2874,1030,2740,1095,1585,4402,1653,2608,3899,3989,1247,4285,4129,3262,4419,1375,833,1848
"AT5G38260",4578,4557,1837,1497,2429,4346,929,902,2108,2155,1473,339,3382,103,1271,579,4780,4695,3753,635
"AT5G38270",1529,3846,482,1602,3637,1066,4335,3361,3520,3092,3325,2321,2364,653,100,3294,2732,1936,1545,4326
"AT5G38280",1248,3730,4602,3312,1810,3727,3227,3262,33,1616,2820,2216,4895,48,356,4938,4824,1178,2891,706
"AT5G38290",713,2255,201,3881,2125,1685,3404,2028,453,3458,3558,4613,2422,620,1927,3141,3986,866,624,1557
"AT5G38300",1253,2653,4005,3950,1309,3264,2501,4186,2743,378,2028,1165,1647,2145,2995,964,2828,2536,1547,1868
"AT5G38310",4451,4418,2006,3198,803,3647,4203,2565,3022,864,648,1383,1414,927,4294,1507,2747,373,3091,1459
"AT5G38317",3145,1757,2316,1212,789,3919,4693,3061,867,4864,409,4082,3486,1804,941,3280,3478,1751,2321,4990
"AT5G38320",4978,727,4626,3390,3695,2283,1444,1440,783,1698,3335,1,1115,4809,1508,3847,473,926,3146,1464
"AT5G38330",4550,4754,154,3738,3977,2819,32,1980,3486,2401,380,605,1600,3949,2805,1156,2685,3782,487,3498
"AT5G38340",931,1172,2508,1037,2293,965,4076,2846,782,152,1645,4755,572,3323,613,2998,1497,4715,1207,3609
"AT5G38344",2797,1726,690,3662,2445,2713,2792,3220,2510,2667,2891,1800,287,1000,561,2331,2089,4998,1241,790
"AT5G38350",3922,4311,1032,2757,4156,1037,374,3141,4520,1043,3898,1845,740,4157,4828,3715,1296,4809,184,2479
"AT5G38360",2425,1873,2546,3889,437,3576,1111,4929,668,4670,4434,1261,3981,1225,1613,1154,3321,2601,957,678
"AT5G38378",3503,1572,4837,1243,4166,2327,4525,4317,2784,4891,3917,4509,1342,1662,2748,1051,3899,186,2446,330
"AT5G38380",4267,4089,4116,4344,3383,4164,1663,876,1774,4616,4103,4176,1236,1719,4388,557,2394,4927,355,2331
"AT5G38386",2882,3030,4288,3267,416,4586,1074,918,137,2051,3970,4101,2426,4724,4882,1267,4003,3262,350,770
"AT5G38390",3496,3989,4182,3729,55,4322,1571,2407,1602,2457,3011,2503,2186,4696,2907,693,1430,3469,1577,473
"AT5G38391",2380,1110,1961,490,2077,4768,2472,3933,873,1147,77,132,4905,3270,4215,4515,2342,3089,3915,106
"AT5G38392",4099,4251,2714,4265,3564,3584,4280,4471,1216,4574,2065,2268,4196,1071,166,680,414,4078,750,2508
"AT5G38396",4464,2912,3363,4365,214,4114,3984,3529,2634,3040,4808,4906,4959,3886,4162,1927,77,3264,3872,2350
"AT5G38397",3223,570,4666,817,3842,28,3557,455,4956,4163,1438,3947,4708,4426,689,723,1452,3183,3178,1782
"AT5G38400",1411,573,1873,1812,2966,3696,2445,1886,4525,1374,3358,1276,670,2294,3436,2574,1758,3459,2605,3436
"AT5G38410",2969,1118,4523,4697,3015,2708,4944,1268,1242,2564,4492,2689,4965,4286,1278,1486,3503,914,2970,1975
"AT5G38420",912,1626,560,831,4965,4462,453,124,233,2566,4261,4855,90,2758,4284,4239,1215,4953,176,3370
"AT5G38430",54,2570,3973,3613,595,4767,2534,40,4007,807,360,2138,3872,936,4493,4992,3307,1689,165,3247
"AT5G38435",3196,3493,1947,3586,2586,2396,1427,4035,1216,3084,4916,3710,2623,801,481,3502,1865,4419,1006,3459
"AT5G38440",1221,3171,2634,4869,3543,3847,816,1502,4150,2008,4871,1570,4023,4923,1216,2867,2981,1436,4037,956
"AT5G38450",4241,3634,1423,768,1077,2597,857,959,33,18,4206,393,3569,2735,3324,4930,4600,1467,4700,3606
"AT5G38460",2911,3084,2317,4719,4054,1232,1002,4056,2544,2196,4198,1476,1276,4605,3964,4176,4522,4434,637,2071
"AT5G38470",55,3570,3236,1943,585,1520,4527,3396,942,4490,1285,1518,14,3800,599,776,2968,2707,2596,2390
"AT5G38480",4046,1981,908,1764,4221,839,4609,1106,3834,2978,923,3340,2817,2850,1568,1203,3108,4924,988,3732
"AT5G38490",2504,4857,2702,4098,932,2281,487,3857,2377,3947,4012,1332,2094,3641,1268,1075,3719,2668,4355,512
"AT5G38500",2840,3915,2367,1228,2196,969,3814,2235,3787,2861,3047,2606,4906,4218,3579,3832,3615,4887,1453,1642
"AT5G38510",993,2627,2094,2711,196,407,3583,4513,3482,39,4740,915,4657,991,816,163,3942,2701,4300,2048
"AT5G38520",4081,970,2451,995,3599,1305,1140,2516,3193,3291,462,1932,2202,2569,2603,4430,2943,3385,2844,1428
"AT5G38530",3602,1064,4955,4544,4733,2424,2900,544,3071,2620,347,1561,1319,3787,3080,3714,1924,3012,2266,291
"AT5G38540",4946,804,1375,145,3545,1535,3135,559,267,3681,3960,3375,1364,1720,4927,3590,920,4512,824,244
"AT5G38550",2186,16,2487,1334,4569,1055,540,4064,3055,1871,3817,3188,90,4604,2872,1846,3373,4080,3395,4356
"AT5G38560",2631,1953,3569,312,18,128,888,724,1378,1354,3919,3008,1816,2296,3505,2520,748,2986,1464,903
"AT5G38565",55,4560,4015,137,2112,282,473,1985,2832,210,623,1297,3558,3202,4542,2222,3419,3152,1485,3578
"AT5G38570",857,121,4632,1147,3851,2838,2738,4367,1095,2645,4847,2066,4240,4008,1432,3494,1213,252,4934,445
"AT5G38580",4469,4376,2813,476,1520,744,1341,3376,842,3573,57,696,4250,4305,3899,1362,522,3281,4853,1023
"AT5G38590",1261,2435,4658,4621,2417,683,1154,3878,3876,4899,1516,1618,1998,1707,3180,143,246,4438,4915,1339
"AT5G38600",1926,2137,1656,2444,3568,3764,4594,4067,4114,4952,2546,108,1780,3241,2192,54,543,2987,4662,2323
"AT5G38610",2220,4288,3722,3683,4950,2194,3969,1057,1563,839,3719,1835,4087,423,436,997,109,4754,3021,963
"AT5G38620",3470,2635,2223,2795,4192,3107,408,731,3134,1859,442,1621,557,2614,2045,4571,1281,577,1048,318
"AT5G38630",1157,3075,4655,54,423,4488,749,455,617,154,3333,3127,161,3711,2665,2836,2329,3163,2164,4908
"AT5G38640",370,4894,1657,4118,751,4147,2962,1345,3747,3048,2903,3953,2338,194,1433,2423,4320,2029,1985,4380
"AT5G38650",3952,834,2515,4389,1980,3050,625,3109,2880,1717,4900,2339,3820,832,1452,1688,4359,4934,2355,2288
"AT5G38660",3899,2064,3608,569,931,4190,2058,4663,3586,556,3788,91,4709,1615,1215,2243,1533,1084,2433,82
"AT5G38670",196,724,4607,1335,1080,3460,3229,3871,2780,4548,4551,4919,3744,564,3334,3846,2574,2523,3199,4571
"AT5G38680",3362,3863,554,128,853,3022,2396,1512,2323,4857,1314,2103,4110,4711,382,2900,4345,2398,4173,1736
"AT5G38690",2335,2166,1842,2485,904,4034,2940,3717,2236,1258,2310,492,3975,3468,1848,1313,439,4630,3667,301
"AT5G38700",3225,1503,384,2639,1472,4745,124,4211,863,2636,3670,4428,3755,2597,3959,4984,3133,1198,782,1639
"AT5G38710",1064,3973,2935,1215,1635,2524,770,1787,559,1743,1068,4858,2004,616,2989,1106,2483,2612,1523,1245
"AT5G38720",3743,1936,3093,1900,1192,2006,1025,3601,4865,1760,2057,3058,2927,2833,1482,3501,4915,4971,726,3325
"AT5G38730",457,4808,1112,4328,4649,4268,2174,861,894,4176,3604,2097,1335,1151,1592,1082,1180,3361,4160,227
"AT5G38740",1609,4348,1175,134,2896,290,769,3204,860,3375,2957,305,4788,3211,4379,133,3038,4846,1382,1974
"AT5G38743",3391,608,4557,3417,3588,1622,2200,3549,3339,3365,1908,1602,4888,4297,4637,4587,2360,1796,4079,3514
"AT5G38747",4946,1323,3757,969,4798,1716,4240,187,28,1597,1656,2150,2542,181,2093,1584,4737,1044,3762,4932
"AT5G38750",450,443,4798,3514,2035,3426,114,4715,2056,4313,2468,4227,2482,1016,1891,1081,350,1614,657,2047
"AT5G38760",965,2046,4607,2814,2598,4716,2197,2128,4820,2666,3718,191,3922,3177,1777,2149,1527,3547,1212,4050
"AT5G38770",1269,3935,207,448,4625,267,643,4872,3018,81,3507,2387,2591,4646,1216,943,2679,2813,2125,2687
"AT5G38780",3772,2366,2820,4783,613,3784,652,2855,2043,1417,3755,2745,1745,2968,4202,4770,2582,3767,3005,2690
"AT5G38790",2884,1913,20,1552,4943,3346,200,910,4339,1180,3297,1156,3978,3422,2557,3761,752,3174,624,2176
"AT5G38800",4202,4397,1116,3419,3463,2547,1593,1564,990,0,2001,1502,2807,127,3970,4987,2273,3824,3656,497
"AT5G38810",2217,2785,2,4909,4648,4005,1820,3966,912,2993,2770,2581,3660,1737,872,2360,1190,298,14,1462
"AT5G38820",1604,1506,654,2980,3180,3398,2067,2633,796,2779,1454,2728,474,415,1844,1153,648,2463,127,620
"AT5G38830",1351,789,1670,2349,558,119,783,2738,2473,4670,1574,1569,3812,1972,3983,2743,1062,1440,2848,4279
"AT5G38840",1275,3773,2631,3601,3390,4173,2452,727,1817,3535,4933,70,4738,2918,4754,2573,4181,1795,723,4045
"AT5G38850",2481,1707,964,4653,2794,1589,162,1957,3714,166,933,2176,4014,4967,926,4563,2141,725,2704,4984
"AT5G38860",5,88,4293,2399,1620,3238,2211,3199,1681,4642,14,2813,1207,2611,1641,4379,2498,3888,4198,529
"AT5G38865",4815,469,559,4605,2000,1785,4575,2413,4379,4190,2715,1707,2570,1852,1614,4326,3545,2565,1419,435
"AT5G38880",4953,1823,1874,640,1415,2132,755,2066,3414,3167,1762,537,2943,1451,2056,3696,2144,2004,431,2625
"AT5G38890",655,3278,1771,4973,2784,2385,1586,3877,4931,4871,3201,4400,2216,2261,2371,2404,4740,2056,941,2379
"AT5G38895",3411,1046,2815,4249,1036,4115,1078,4440,3826,481,4833,1988,3927,2404,2211,1564,3062,4138,3136,1430
"AT5G38900",3933,389,3896,4611,3469,360,4056,207,3960,4752,2169,457,1806,4114,2390,909,3664,1349,1136,4124
"AT5G38905",481,2125,3279,1499,2467,4657,3797,434,654,3717,1850,3023,3556,2763,2979,4457,2050,2516,1399,1548
"AT5G38910",1374,2850,3628,4750,3569,947,2633,2625,4704,3485,4425,4203,1023,3250,4060,3667,3590,4349,4386,1486
"AT5G38920",3394,4288,751,2448,4585,3719,2725,66,4378,1319,1758,1451,512,4652,1742,1897,2924,3169,2747,4344
"AT5G38930",2643,4983,995,2167,2440,3213,930,4699,834,4976,3279,3409,4406,340,2517,3492,3922,3192,636,2017
"AT5G38940",4970,4522,1707,3388,1043,3768,4764,2841,3947,4867,3835,852,2309,150,4856,2552,3170,4798,4303,3407
"AT5G38950",3120,3312,4876,3742,2774,297,4513,21,3363,1556,3519,3685,4034,2766,3271,4009,1761,667,2464,4860
"AT5G38960",2464,3326,888,2910,3276,4059,901,2410,2419,438,4985,1151,570,2248,3625,1994,901,4271,2919,4224
"AT5G38970",1129,37,270,879,1589,2203,1831,2076,2565,4279,2752,842,2875,3607,173,1834,2277,630,1183,2800
"AT5G38980",2725,223,4147,2004,3652,2688,4186,2304,2303,595,1387,1778,3752,769,3382,3463,2144,3506,28,2419
"AT5G38990",1411,1904,1166,1822,2752,3305,885,3777,4629,528,4806,1162,2971,567,3259,3214,4020,645,3505,4762
"AT5G39000",1662,4692,4716,2139,1806,3582,1456,735,616,2532,3956,1106,4759,2482,2507,2959,819,417,346,2469
"AT5G39010",3296,584,1858,4697,3435,2513,1967,2751,4518,2728,3015,3203,1270,819,3744,4174,4636,2605,1893,468
"AT5G39020",2911,4631,2038,4880,3119,3256,1594,1546,2040,855,2725,2702,4852,3322,4171,1679,4929,565,1473,2607
"AT5G39024",147,3967,3237,4996,287,1898,704,2954,1804,111,704,3680,2360,836,2000,3785,4108,2804,1386,3279
"AT5G39030",101,388,3752,3211,3980,4908,33,1889,639,4910,4963,200,3560,2476,701,4825,91,557,245,1425
"AT5G39040",2191,155,4747,2277,3137,1758,1382,1156,3283,4560,4753,4299,3817,4613,4707,3495,4317,841,3357,2085
"AT5G39050",4347,1671,1277,2467,632,3707,3244,1055,4381,2283,4068,4390,2991,3328,1539,4632,147,4821,4806,3505
"AT5G39080",2770,948,3474,1749,1409,369,2897,4532,4296,1655,4954,3280,4507,566,3134,3956,3961,1261,3956,4497
"AT5G39090",1555,3022,1830,2782,2551,1269,4024,878,507,720,983,4924,2124,3462,264,2299,2022,2837,406,1522
"AT5G39100",1359,3732,4636,3204,1871,4481,4175,2970,1697,4389,173,1830,1240,3296,3991,1442,2737,2793,251,4642
"AT5G39110",2500,2040,3357,2416,1274,918,2136,2589,2196,3098,2789,1868,743,2580,1539,2891,1015,394,3092,4317
"AT5G39120",1672,2485,1864,3657,1394,1223,2470,4040,3702,4637,2203,3991,4294,3904,4879,3541,212,3731,2772,3073
"AT5G39130",2865,384,258,2563,1785,3365,4520,4390,232,3647,663,2587,714,3621,1483,2854,4724,1139,1389,1416
"AT5G39140",3462,636,1050,4077,2033,4226,3494,4708,3709,4591,1367,934,2670,1605,1709,521,532,2777,4825,4960
"AT5G39150",2236,2873,810,1167,4506,899,4262,731,2248,4813,2234,1843,3534,3305,859,3239,1141,1736,3036,4127
"AT5G39160",2364,4061,238,3120,1875,748,2906,2833,1741,4799,3316,524,21,654,3992,1859,1418,1482,1223,4982
"AT5G39170",881,3148,1087,2586,402,2318,1248,4703,4314,4343,2596,1052,602,928,280,3330,1935,2490,2767,2408
"AT5G39180",4654,939,4757,4163,3458,4294,2553,3018,1553,747,3383,1616,4982,2923,4765,132,3396,637,784,1228
"AT5G39190",192,1548,1015,69,941,897,385,2395,2062,395,2850,923,1933,2044,1563,1063,4432,2700,2737,4038
"AT5G39200",2196,1588,4652,221,3654,4476,3835,2558,1236,3061,1491,3573,2044,1161,765,1997,1255,3656,3071,3663
"AT5G39210",3847,1183,3042,3155,2361,4022,2821,722,2791,64,2802,4115,2330,295,3051,2736,3051,1010,2169,3297
"AT5G39220",455,1511,1915,60,1078,1749,1549,2773,2678,3905,1402,3030,3578,1803,2248,39,1540,965,2173,4195
"AT5G39230",1055,675,1763,3409,2251,1509,4307,3774,2905,2037,3682,2567,1092,2053,1048,1200,2389,2453,808,4779
"AT5G39240",2,2788,2234,841,4999,1418,322,3906,4789,706,246,617,1183,1541,3107,4185,1731,1,3477,3179
"AT5G39250",4903,3063,2248,4335,971,4956,1073,3150,1478,1530,360,4522,2232,4167,484,418,2074,4660,1009,2080
"AT5G39260",1371,1731,2804,1192,469,3505,2846,2833,81,2686,4896,466,1292,3541,4169,4478,3878,1171,4284,1553
"AT5G39270",915,2557,432,1780,611,1184,4137,2288,2064,1764,3654,3217,3741,4052,3662,4242,4753,3811,474,4378
"AT5G39280",3107,3530,4832,3363,1743,3091,4493,2836,77,3488,2524,4288,4162,771,640,3788,1997,2011,2023,2708
"AT5G39290",1644,4056,4324,4825,2583,945,2970,3528,586,3224,2142,2122,3587,842,4319,1731,4873,2534,589,1897
"AT5G39300",1722,311,3672,346,75,4985,1593,4534,1876,984,1413,2752,1679,1423,1068,3980,1832,3162,1628,1984
"AT5G39310",1355,2346,827,1582,4751,3323,2455,3006,4465,2296,4649,2663,73,1117,3005,4247,3501,3266,2398,2775
"AT5G39320",657,3343,1387,2113,3366,3470,1572,4700,4777,4983,3988,3997,1651,1020,1049,1667,2216,3246,2984,3117
"AT5G39330",2472,3764,1552,212,4534,87,1388,3207,720,4955,2700,4911,3266,1163,3965,3655,2765,3770,3451,1044
"AT5G39340",973,1064,4247,2893,1640,3041,438,1674,4063,4494,2422,2195,829,1097,1663,4217,1434,2963,4225,3682
"AT5G39350",1885,1542,3320,2072,761,4956,606,1052,2307,2225,1318,4105,201,3798,4393,1760,3040,1683,378,2690
"AT5G39360",329,557,601,2602,2111,1949,4013,540,728,4991,2936,855,4663,1482,4544,2871,4418,2758,865,3442
"AT5G39365",68,2196,4798,2527,834,4997,4233,957,2939,2581,1018,3630,3564,2956,3541,2092,2930,243,4045,1538
"AT5G39370",1998,4803,4955,714,442,3456,4259,1394,3426,433,3196,2757,2013,1018,1273,3040,2880,1503,4312,380
"AT5G39380",2447,4716,1866,1928,3038,2195,2967,4071,1982,3817,2786,2332,2846,4863,4041,2260,4259,1670,3209,817
"AT5G39390",2979,2991,1273,3188,581,2815,1908,2153,227,1039,1728,4994,3446,900,848,501,2151,2145,68,2405
"AT5G39400",728,4385,3447,2443,1423,1430,2105,3050,2339,3229,4781,3045,1521,2459,93,2319,1236,4278,179,218
"AT5G39410",583,2394,2624,4584,2247,3482,2626,138,2367,3533,3868,3444,4444,4634,303,1392,2746,459,2520,2103
"AT5G39420",2643,2309,1634,2210,1082,3383,4536,4634,3040,3898,2623,1777,4055,4883,1790,2314,3937,2658,1426,2964
"AT5G39430",1474,3264,4350,1996,2820,3647,4442,4061,4426,2177,3209,4404,2144,3182,2907,3178,1140,2070,1015,4568
"AT5G39440",2517,474,346,4526,4562,567,4345,3279,3815,1647,2020,3063,2767,1533,3449,4521,692,999,4520,2776
"AT5G39450",899,3443,3553,1151,413,2549,4482,2740,1686,4023,4703,4080,2298,3147,3823,4616,1842,1588,2402,3245
"AT5G39460",477,356,2983,998,2747,1338,864,1008,423,955,4931,4247,1354,845,2218,4906,1319,4583,961,2452
"AT5G39470",4183,1531,4208,383,3846,2665,469,1504,1220,4310,1836,2628,905,3304,754,524,4802,1111,3253,4395
"AT5G39471",2074,4613,4970,3578,2604,4817,2920,915,646,1834,3826,2363,4735,1690,736,2321,4526,3314,4586,2772
"AT5G39480",4194,768,4179,2397,4114,2504,2121,3452,2137,4238,1392,3453,593,595,4724,2083,1776,2079,2375,1260
"AT5G39490",4534,17,1281,4945,1931,1151,4552,3425,3042,755,3875,1823,4053,4943,2033,813,4711,3281,605,2758
"AT5G39493",272,1694,3773,1299,107,1347,3131,1326,3039,395,1211,1189,2009,178,3611,3964,1995,4358,70,3016
"AT5G39500",1314,3452,2384,1197,3858,1618,2970,2041,355,3988,675,2530,3869,4551,1363,2925,1173,4078,4208,2946
"AT5G39510",3497,2159,1961,2370,4003,3440,2859,1768,876,1073,772,1659,1968,3819,645,2305,4909,3225,2381,3606
"AT5G39520",4845,23,4583,2588,821,2879,901,2474,1875,402,4363,1648,3211,1075,3569,573,3541,3121,4836,1336
"AT5G39530",2869,1104,1824,4212,101,1218,3391,2471,2035,3320,1307,2081,3643,4535,3136,2015,4714,3932,2989,4016
"AT5G39535",503,4102,1748,4377,4828,3345,659,1908,2513,3651,3225,4860,1598,3590,765,4384,2765,4941,2164,4933
"AT5G39540",3103,3982,3392,2712,2939,3176,69,4654,4701,3432,4593,2172,3657,1202,1951,3134,4753,2114,4213,1990
"AT5G39550",3147,3407,2400,3134,4456,116,1576,4249,4047,3809,4632,2123,1301,1018,3271,4843,4711,1133,4405,836
"AT5G39560",4169,4263,4732,4828,2812,4225,2119,1383,1013,2390,1345,4709,494,4718,1071,2425,3411,3218,11,4110
"AT5G39570",1489,1482,1095,423,4763,3354,1151,2520,4280,4871,561,1273,4449,1324,2518,3466,767,1938,3777,1058
"AT5G39580",2507,2886,499,3651,2894,2922,1213,4420,2142,3892,4104,1104,4844,1775,3159,3159,4037,3785,2754,3173
"AT5G39590",506,3471,3370,2336,346,2630,747,29,1628,3400,1623,468,279,2909,2831,387,3421,539,661,467
"AT5G39600",3411,3690,1509,2193,422,925,1285,4524,4763,942,768,3005,4885,1276,3734,1427,4164,1740,711,763
"AT5G39610",3335,834,807,3007,3288,4406,4286,3663,2979,1576,2749,2336,1958,3471,3512,1555,1664,1145,2804,340
"AT5G39620",651,624,4037,2468,471,1306,2208,419,3816,1361,1170,4186,765,2966,3398,4780,4743,2838,2273,4814
"AT5G39630",1359,4926,3795,3811,1453,4884,2565,216,2038,337,1970,2560,1896,739,4019,1421,3656,578,1338,1685
"AT5G39635",3501,2001,4334,2652,2877,3338,275,3420,1470,2597,2055,1341,3314,3935,1524,4828,4354,4192,2607,3154
"AT5G39640",4101,1219,1246,1074,1322,2726,4595,927,848,1699,645,2109,4505,4452,2762,4218,1106,4965,3252,4766
"AT5G39645",354,2548,2755,1315,891,419,4733,2364,368,1372,1278,559,4938,4665,689,644,2114,1063,1938,3508
"AT5G39650",3283,694,9,1124,569,100,1259,4931,98,2128,2523,1684,3705,3419,3424,1601,1535,3910,2823,4111
"AT5G39660",4782,4370,2314,2528,3350,1541,2689,1286,954,2310,1728,3559,3152,409,2822,2105,3025,3365,4346,1623
"AT5G39670",1104,1783,618,2969,4628,2879,219,1959,1544,581,2545,1655,4118,1217,3715,4231,2506,1237,1035,4433
"AT5G39680",588,2589,4878,1661,179,1917,377,3768,1337,3526,1784,2629,1742,909,1599,4778,1286,4838,3634,4503
"AT5G39690",2922,3419,4354,3480,1494,4181,2919,3520,3168,4879,3807,4404,2539,2912,1419,1068,1931,2440,1711,4667
"AT5G39693",2109,4201,4584,3004,601,1229,3387,952,1083,2161,3417,1883,135,4593,2325,3024,2394,3682,4173,966
"AT5G39700",1856,676,4534,746,650,4551,2098,734,4958,1829,1746,4063,2765,3741,2620,2807,2247,4769,4982,955
"AT5G39710",1879,1220,353,43,3222,1590,1959,4384,573,3334,2024,3450,2328,266,1838,3205,2950,2477,4977,3034
"AT5G39715",4228,724,685,4320,4302,1199,1359,4726,2149,4809,3093,3173,935,114,2638,299,219,3347,4286,3325
"AT5G39720",3719,29,4277,3264,609,3701,3868,953,4160,1467,4161,2060,2366,4036,2367,3546,4300,3359,4595,2828
"AT5G39730",4103,4451,2067,2064,1876,4278,2603,303,3892,718,4244,3009,2221,4628,120,418,4798,4864,1586,4403
"AT5G39740",1289,3677,1078,3738,2941,893,1505,1271,3454,2035,3742,4784,11,1559,654,2463,2340,3884,1366,3659
"AT5G39750",772,738,3054,1246,0,2707,1217,2566,4500,1505,2734,4523,377,2947,3474,4465,2882,4692,969,4538
"AT5G39760",1879,3109,991,554,4186,1939,4314,1656,4988,1017,2590,3827,820,2278,3667,1391,2826,3686,4203,2174
"AT5G39770",2391,4498,294,2308,817,792,3273,1836,2728,2337,147,1991,817,4542,1261,4033,1613,3731,2011,2465
"AT5G39775",3621,132,3898,3631,57,1936,4313,374,653,281,2523,2591,3917,4590,1609,3943,1694,61,4981,4830
"AT5G39785",3622,2106,51,2370,3141,4032,1233,2923,1042,2961,3009,3687,2302,4685,1410,3351,4646,842,545,9
"AT5G39790",1173,640,1477,2279,1041,2713,4745,1665,1108,3164,1915,3889,1134,473,350,2977,889,2787,117,1119
"AT5G39800",4612,3851,3103,1325,4632,4894,772,1931,6,3812,3154,895,3916,797,1406,281,4335,4168,4586,1397
